Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00000,="23:40:57.422",0x6E8F67,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00001,="23:40:58.472",0x6EB7B4,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00002,="23:40:58.472",0x6EB7B7,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 16 10 83 
00003,="23:40:58.472",0x6EB7C6,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 16 10 20 00 00 
00004,="23:40:58.472",0x6EB7CB,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00005,="23:40:58.472",0x6EB7CF,ch1,Receive,0x0544,Data,Standard,0x06,x| 00 00 00 00 00 A4 
00006,="23:40:59.491",0x6EE000,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00007,="23:41:00.541",0x6F084D,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00008,="23:41:00.541",0x6F0851,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 08 20 85 
00009,="23:41:00.541",0x6F0857,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 08 20 11 11 11 
00010,="23:41:00.541",0x6F085C,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 12 12 12 00 00 00 00 
00011,="23:41:00.541",0x6F0861,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00012,="23:41:00.541",0x6F0866,ch1,Receive,0x0544,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
00013,="23:41:00.541",0x6F086B,ch1,Receive,0x0544,Data,Standard,0x06,x| 00 00 00 00 00 EF 
00014,="23:41:01.562",0x6F309A,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00015,="23:41:02.582",0x6F58E7,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00016,="23:41:02.582",0x6F58EB,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 09 04 6A 
00017,="23:41:02.582",0x6F58F4,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 09 04 C7 3F 01 
00018,="23:41:02.582",0x6F58F7,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 72 
00019,="23:41:03.631",0x6F8133,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00020,="23:41:03.631",0x6F8137,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0A 04 6B 
00021,="23:41:03.631",0x6F8140,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0A 04 F4 FF FF 
00022,="23:41:03.631",0x6F8142,ch1,Receive,0x0544,Data,Standard,0x02,x| FF 5D 
00023,="23:41:04.651",0x6FA980,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00024,="23:41:04.651",0x6FA984,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0D 04 6E 
00025,="23:41:04.651",0x6FA98D,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0D 04 61 00 00 
00026,="23:41:04.651",0x6FA990,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 D0 
00027,="23:41:05.701",0x6FD1CD,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00028,="23:41:06.721",0x6FFA1A,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00029,="23:41:07.771",0x702267,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00030,="23:41:08.792",0x704AB3,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00031,="23:41:08.792",0x704AB7,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 0E 04 6F 
00032,="23:41:08.792",0x704AC4,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 0E 04 64 00 00 
00033,="23:41:08.792",0x704AC6,ch1,Receive,0x0544,Data,Standard,0x02,x| 00 D4 
00034,="23:41:09.811",0x707300,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00035,="23:41:10.861",0x709B4D,ch1,Receive,0x0123,Data,Standard,0x01,x| AA 
00036,="23:41:10.861",0x709B51,ch1,Receive,0x0528,Data,Standard,0x06,x| 46 16 01 24 20 A1 
00037,="23:41:10.861",0x709B60,ch1,Receive,0x0544,Data,Standard,0x08,x| 47 16 01 24 20 FB 0F F9 
