序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
00000,="10:27:11.674",0x561093D,ch1,接收,0x0544,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00001,="10:27:11.674",0x5610940,ch1,接收,0x0544,数据帧,标准帧,0x02,x| 00 D3 
00002,="10:27:11.733",0x5610B3D,ch1,接收,0x0546,数据帧,标准帧,0x08,x| 47 16 01 0D 04 64 00 00 
00003,="10:27:11.733",0x5610B40,ch1,接收,0x0546,数据帧,标准帧,0x02,x| 00 D3 
00004,="10:27:11.794",0x5610D32,ch1,接收,0x0540,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00005,="10:27:11.794",0x5610D37,ch1,接收,0x0540,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00006,="10:27:11.823",0x5610F32,ch1,接收,0x0542,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00007,="10:27:11.823",0x5610F36,ch1,接收,0x0542,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00008,="10:27:11.885",0x5611127,ch1,接收,0x0544,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00009,="10:27:11.885",0x561112C,ch1,接收,0x0544,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00010,="10:27:11.944",0x561131D,ch1,接收,0x0546,数据帧,标准帧,0x08,x| 47 16 01 08 08 19 19 19 
00011,="10:27:11.944",0x5611321,ch1,接收,0x0546,数据帧,标准帧,0x06,x| 19 19 19 19 19 36 
00012,="10:27:12.004",0x56115A9,ch1,接收,0x0540,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00013,="10:27:12.004",0x56115AC,ch1,接收,0x0540,数据帧,标准帧,0x02,x| 00 8D 
00014,="10:27:12.034",0x561179E,ch1,接收,0x0542,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00015,="10:27:12.034",0x56117A1,ch1,接收,0x0542,数据帧,标准帧,0x02,x| 00 8D 
00016,="10:27:12.094",0x5611994,ch1,接收,0x0544,数据帧,标准帧,0x08,x| 47 16 01 17 04 14 00 00 
00017,="10:27:12.094",0x5611997,ch1,接收,0x0544,数据帧,标准帧,0x02,x| 00 8D 
